Time (s),Rx (V),Tx (V)
0.000982934,2.82633,0.0952475
0.000983564,2.73073,0.0916042
0.000984194,2.63843,0.0916042
0.000984824,2.54943,0.0952475
0.000985454,2.46043,0.0988907
0.000986084,2.37142,0.0952475
0.000986714,2.28572,0.0952475
0.000987344,2.20331,0.0952475
0.000987974,2.13079,0.0952475
0.000988604,2.08793,0.102534
0.000989234,2.04508,0.0952475
0.000989864,1.99563,0.0988907
0.000990494,1.933,0.0988907
0.000991124,1.90993,0.0988907
0.000991754,1.933,0.0952475
0.000992384,1.95937,0.0988907
0.000993014,1.95608,0.102534
0.000993644,1.91652,0.106177
0.000994274,1.88355,0.0988907
0.000994904,1.90663,0.102534
0.000995534,1.96267,0.102534
0.000996164,1.99563,0.109821
0.000996794,1.98245,0.106177
0.000997424,1.94289,0.106177
0.000998054,1.91652,0.109821
0.000998684,1.94619,0.106177
0.000999314,1.97915,0.106177
0.000999944,1.97256,0.109821
0.00100057,1.9363,0.109821
0.0010012,1.88685,0.113464
0.00100183,1.84729,0.109821
0.00100246,1.8374,0.113464
0.00100309,1.82422,0.117107
0.00100372,1.78796,0.117107
0.00100435,1.73851,0.117107
0.00100498,1.68577,0.117107
0.00100561,1.62643,0.12075
0.00100624,1.5671,0.117107
0.00100687,1.50776,0.12075
0.0010075,1.44843,0.128037
0.00100813,1.39239,0.12075
0.00100876,1.33965,0.12075
0.00100939,1.2935,0.124394
0.00101002,1.24735,0.128037
0.00101065,1.20449,0.128037
0.00101128,1.16164,0.128037
0.00101191,1.11219,0.128037
0.00101254,1.06934,0.128037
0.00101317,1.03967,0.128037
0.0010138,1.0199,0.13168
0.00101443,0.99682,0.128037
0.00101506,0.973746,0.128037
0.00101569,0.937485,0.13168
0.00101632,0.921003,0.13168
0.00101695,0.927596,0.135323
0.00101758,0.940781,0.138967
0.00101821,0.937485,0.135323
0.00101884,0.921003,0.135323
0.00101947,0.894632,0.138967
0.0010201,0.888039,0.138967
0.00102073,0.904521,0.138967
0.00102136,0.924299,0.135323
0.00102199,0.91441,0.138967
0.00102262,0.897928,0.135323
0.00102325,0.871557,0.13168
0.00102388,0.858371,0.135323
0.00102451,0.858371,0.138967
0.00102514,0.855075,0.14261
0.00102577,0.835296,0.138967
0.0010264,0.808925,0.138967
0.00102703,0.78585,0.138967
0.00102766,0.762775,0.14261
0.00102829,0.739701,0.14261
0.00102892,0.713329,0.146253
0.00102955,0.693551,0.149896
0.00103018,0.663883,0.146253
0.00103081,0.640808,0.146253
0.00103144,0.607844,0.149896
0.00103207,0.581473,0.146253
0.0010327,0.561694,0.15354
0.00103333,0.53862,0.149896
0.00103396,0.518841,0.15354
0.00103459,0.495766,0.149896
0.00103522,0.475988,0.149896
0.00103585,0.459506,0.146253
0.00103648,0.443024,0.15354
0.00103711,0.426542,0.15354
0.00103774,0.403467,0.15354
0.00103837,0.390281,0.149896
0.001039,0.386985,0.149896
0.00103963,0.377095,0.149896
0.00104026,0.367206,0.149896
0.00104089,0.354021,0.149896
0.00104152,0.340835,0.146253
0.00104215,0.340835,0.149896
0.00104278,0.340835,0.149896
0.00104341,0.344131,0.15354
0.00104404,0.340835,0.149896
0.00104467,0.324353,0.149896
0.0010453,0.31776,0.149896
0.00104593,0.311167,0.149896
0.00104656,0.314464,0.15354
0.00104719,0.307871,0.15354
0.00104782,0.304574,0.15354
0.00104845,0.294685,0.15354
0.00104908,0.288092,0.157183
0.00104971,0.278203,0.160826
0.00105034,0.27161,0.160826
0.00105097,0.261721,0.157183
0.0010516,0.248535,0.160826
0.00105223,0.238646,0.160826
0.00105286,0.225461,0.160826
0.00105349,0.218868,0.157183
0.00105412,0.215571,0.160826
0.00105475,0.202386,0.160826
0.00105538,0.192497,0.160826
0.00105601,0.185904,0.160826
0.00105664,0.176014,0.160826
0.00105727,0.166125,0.160826
0.0010579,0.156236,0.157183
0.00105853,0.15294,0.157183
0.00105916,0.146347,0.157183
0.00105979,0.136458,0.160826
0.00106042,0.129865,0.160826
0.00106105,0.119976,0.157183
0.00106168,0.113383,0.164469
0.00106231,0.110086,0.168113
0.00106294,0.100197,0.164469
0.00106357,0.0936042,0.164469
0.0010642,0.0969006,0.160826
0.00106483,0.0903078,0.164469
0.00106546,0.0870114,0.164469
0.00106609,0.0804186,0.164469
0.00106672,0.0771222,0.164469
0.00106735,0.0738258,0.160826
0.00106798,0.0705294,0.160826
0.00106861,0.0738258,0.160826
0.00106924,0.067233,0.160826
0.00106987,0.0639365,0.164469
0.0010705,0.0606401,0.164469
0.00107113,0.0606401,0.164469
0.00107176,0.0540473,0.168113
0.00107239,0.0507509,0.168113
0.00107302,0.0507509,0.160826
0.00107365,0.0474545,0.168113
0.00107428,0.0441581,0.168113
0.00107491,0.0408617,0.168113
0.00107554,0.0375653,0.164469
0.00107617,0.0342689,0.164469
0.0010768,0.027676,0.164469
0.00107743,0.0243796,0.164469
0.00107806,0.0177868,0.164469
0.00107869,0.0210832,0.164469
0.00107932,0.0177868,0.164469
0.00107995,0.0177868,0.164469
0.00108058,0.0144904,0.168113
0.00108121,0.0144904,0.168113
0.00108184,0.011194,0.164469
0.00108247,0.00789758,0.168113
0.0010831,0.00460117,0.160826
0.00108373,0.00460117,0.164469
0.00108436,-0.00199165,0.171756
0.00108499,0.00130476,0.171756
0.00108562,-0.00199165,0.171756
0.00108625,-0.00528805,0.171756
0.00108688,-0.00858446,0.168113
0.00108751,-0.00528805,0.168113
0.00108814,-0.00858446,0.164469
0.00108877,-0.00858446,0.164469
0.0010894,-0.00858446,0.164469
0.00109003,-0.00528805,0.160826
0.00109066,-0.00528805,0.160826
0.00109129,-0.00858446,0.164469
0.00109192,-0.0118809,0.164469
0.00109255,-0.0118809,0.164469
0.00109318,-0.0151773,0.160826
0.00109381,-0.0184737,0.160826
0.00109444,-0.0217701,0.164469
0.00109507,-0.0184737,0.168113
0.0010957,-0.0184737,0.164469
0.00109633,-0.0151773,0.168113
0.00109696,-0.0184737,0.171756
0.00109759,-0.0217701,0.171756
0.00109822,-0.0217701,0.164469
0.00109885,-0.0217701,0.168113
0.00109948,-0.0250665,0.164469
0.00110011,-0.0283629,0.164469
0.00110074,-0.0283629,0.168113
0.00110137,-0.0250665,0.164469
0.001102,-0.0283629,0.164469
0.00110263,-0.0316593,0.164469
0.00110326,-0.0316593,0.168113
0.00110389,-0.0349557,0.171756
0.00110452,-0.0349557,0.164469
0.00110515,-0.0316593,0.164469
0.00110578,-0.0316593,0.171756
0.00110641,-0.0283629,0.175399
0.00110704,-0.0316593,0.171756
0.00110767,-0.0349557,0.168113
0.0011083,-0.0349557,0.171756
0.00110893,-0.0349557,0.175399
0.00110956,-0.0316593,0.171756
0.00111019,-0.0349557,0.171756
0.00111082,-0.0382522,0.160826
0.00111145,-0.0382522,0.164469
0.00111208,-0.0382522,0.168113
0.00111271,-0.0415486,0.164469
0.00111334,-0.0415486,0.164469
0.00111397,-0.044845,0.175399
0.0011146,-0.044845,0.175399
0.00111523,-0.0382522,0.168113
0.00111586,-0.0349557,0.164469
0.00111649,-0.0415486,0.168113
0.00111712,-0.0415486,0.164469
0.00111775,-0.0415486,0.168113
0.00111838,-0.0415486,0.168113
0.00111901,-0.0349557,0.168113
0.00111964,-0.0349557,0.171756
0.00112027,-0.0382522,0.171756
0.0011209,-0.0415486,0.175399
0.00112153,-0.0415486,0.168113
0.00112216,-0.0415486,0.168113
0.00112279,-0.044845,0.171756
0.00112342,-0.044845,0.168113
0.00112405,-0.0415486,0.168113
0.00112468,-0.0382522,0.168113
0.00112531,-0.0415486,0.171756
0.00112594,-0.0415486,0.164469
0.00112657,-0.0415486,0.164469
0.0011272,-0.0382522,0.168113
0.00112783,-0.0415486,0.171756
0.00112846,-0.0382522,0.175399
0.00112909,-0.0382522,0.168113
0.00112972,-0.0415486,0.168113
0.00113035,-0.0415486,0.171756
0.00113098,-0.0415486,0.171756
0.00113161,-0.0415486,0.175399
0.00113224,-0.0415486,0.175399
0.00113287,-0.0415486,0.171756
0.0011335,-0.0415486,0.168113
0.00113413,-0.044845,0.175399
0.00113476,-0.044845,0.168113
0.00113539,-0.0415486,0.164469
0.00113602,-0.0415486,0.171756
0.00113665,-0.0382522,0.171756
0.00113728,-0.0382522,0.171756
0.00113791,-0.0382522,0.168113
0.00113854,-0.0382522,0.168113
0.00113917,-0.0382522,0.168113
0.0011398,-0.0382522,0.168113
0.00114043,-0.0382522,0.168113
0.00114106,-0.0382522,0.168113
0.00114169,-0.0415486,0.168113
